,Job ID,Title,Company,Location,Date,Description,Link
806,807,Senior C++ Developer,HR1 Vietnam,Hà Nội,07/07/2024,"Mô tả công việc:Tham gia vào các dự án xây dựng sản phẩm trong mảng Computer Vision có sử dụng công nghệ Deep Learning. Các sản phẩm của công ty bao gồm: nhận diện hành động bất thường thông qua camera giám sát, multiple camera tracking, human pose estimation.Cụ thể:- Xây dựng các ứng dụng, tích hợp hệ thống sử dụng model AI trong việc phân tích Video- Làm việc với các hệ thống server tại chỗ hoặc trên nền tảng Cloud AWSYêu cầu:Tốt nghiệp đại học chuyên ngành CNTT hoặc tương đươngTối thiểu 4 năm kinh nghiệm phát triển hệ thống trên C++Tối thiểu 2 năm kinh nghiệm làm việc về xử lý Video StreamingTối thiểu 1 năm kinh nghiệm phát triển trên DeepstreamThành thạo với môi trường LinuxHiểu biết tốt về lập trình hướng đối tượng, đa luồngTư duy logic tốt, chăm chỉ và có trách nhiệm trong công việcCó đam mê, và thích hợp với môi trường startupQuyền lợi:Mức lương cạnh tranh x 14 tháng lương một nămCơ hội nhận thưởng cổ phần.Được tham gia đầy đủ các chế độ của Nhà nước quy định như: BHXH, BHYT, BHTN, ngày nghỉ phép năm.Được đào tạo và làm việc trực tiếp với những chuyên gia nhiều kinh nghiệm trong lĩnh vực AI.Có cơ hội làm những việc thách thức, phát huy hết khả năng bản thânTham gia các buổi teambuilding, du lịch 2-3 lần/năm, ăn chơi hàng tháng cùng Công ty;Được hưởng đầy đủ các chế độ phúc lợi (Hiếu hỉ, sinh nhật…);Môi trường làm việc trẻ trung, thoải mái, tinh thần startup năng động.---Ứng viên quan tâm vui lòng ỨNG TUYỂN bên dưới.hoặc, LIÊN HỆ VỚI CHÚNG TÔI để biết thêm chi tiếtP: +84 028 3925 2*** | ****@hr1vietnam.com | www.hr1vietnam.com HR1Jobs - The No1 AI Recruitment Online Platform: www.hr1jobs.com  HR1Tech - The No1 AI Recruitment Online Platform in IT: www.hr1tech.com ",https://www.jobstreet.vn/vi%E1%BB%87c/Senior-C++-Developer-775223e0b4ad50e5e989475d4ad90620?abstract_type=original&fsv=true&sl=&sol_key=0b703035e5b1aa4012703aa6ce2a796a&sol_srt=562f2532-72bf-4ea7-a7e0-d0e6c7c0a5db&sp=serp&sponsored=false&sq=AI+engineer&sr=55&tk=YV1PbrqTDJPev04G2DxX-uQ_YEbylpxwjnYZxvKlq&trigger_source=serp
807,808,Algorithm Developer,HR1 Vietnam,Hồ Chí Minh,07/07/2024,"SKILLSFluent with the C++ programming language in a Linux environment (including C++11 or newer).Proficient with coding in Python for analytics projects.Ability to work creatively and independently on long-term technical problems.Understanding of core concepts in data structures, algorithms.Be fluent with best practices related to software testing, peer code reviews, continuous integration etc.PROFILEYou possess a bachelor's degree in Math, CS, Stats, Physics, or related field.You are capable of working independently as well as part of a team.You can analyze and fix problems quickly.You learn quickly and apply new skills effectively.You demonstrate the passion and interests in trading.------------------Ứng viên quan tâm vui lòng ỨNG TUYỂN bên dưới.hoặc, LIÊN HỆ VỚI CHÚNG TÔI để biết thêm chi tiếtP: +84 028 3925 2*** | ****@hr1vietnam.com | www.hr1vietnam.comHR1Jobs - The Leading AI Recruitment Online Platform: www.hr1jobs.com HR1Tech - The Leading AI Recruitment Online Platform in IT: www.hr1tech.com",https://www.jobstreet.vn/vi%E1%BB%87c/Algorithm-Developer-edab5f5f9862e98ac6f7b93f02f75ee2?abstract_type=original&fsv=true&sl=&sol_key=48850217adac9c756c10f4f8dc44859c&sol_srt=562f2532-72bf-4ea7-a7e0-d0e6c7c0a5db&sp=serp&sponsored=false&sq=AI+engineer&sr=56&tk=YV1PbrqTDJPev04G2DxX-uQ_YEbylpxwjnYZxvKlq&trigger_source=serp
808,809,Backend Engineer,Công Ty TNHH Nyk Line (Việt Nam),Hồ Chí Minh,07/06/2024,"Mô tả công việc: (Mức lương: Thỏa thuận)About LINE VietnamOur products focus on the online media business industry. Our mission is to bring people, information, and services closer together by using of AI Technology. We also have many interesting projects specified for AI and Blockchain. You will have a great chance to:Working in a very Silicon Valley start-up style with a professional, international environment. Developing your career in a famous product company and working with the latest technologies worldwide.Responsibilities− Being a part of Global LINE Development you will contribute to the development of LINE’s offers and services− Take responsibility for developing any future products for Vietnam market− Show initiatives and demonstrate ownership of the product by suggesting new features and provideinsights during product development− Work closely with fellow global LINE engineers in other countriesChức vụ: Nhân viên/Chuyên viênHình thức làm việc: Toàn thời gianQuyền lợi được hưởng:Dynamic, Innovative and Friendly Working EnvironmentTop Attractive SalaryWorking with top professional experts with the latest and challenging technologies for Line app and Line eco-systemYêu cầu bằng cấp (tối thiểu): Đại HọcYêu cầu công việc:Requirements− At least 3 years experience in Java programming language− Knowledge and/or experience in designing, developing, testing, and deploying backend API acrossdevelopment environments DEV, TEST, STAG and PRODUCTION− Experience/Knowledge in Server Architecture Design for handling massive traffic− Experience in Cloud-based, Containerized application development− Deep knowledge and experience in Object-Oriented programming and applying Design Patterns− Experience in constructing & operating storage in Large Data Distributed Environments (MySQL, Hadoop, HBase, Redis, MongoDB)− Experience in Data Structure, Algorithm, Distributed Service− Experience/Knowledge in System Analysis & Design, n-Tier Architecture, Micro Service Architecture is aplus− Able to communicate in English efficiently in workingYêu cầu giới tính: Nam/NữNgành nghề: Backend,CNTT - Phần Mềm,Javascript",https://www.jobstreet.vn/vi%E1%BB%87c/Backend-Engineer-03dc28b8adbeb32c110706233f52f57d?abstract_type=original&fsv=true&sl=&sol_key=5f73d9c29492b08cf7ffa923e3b692f0&sol_srt=562f2532-72bf-4ea7-a7e0-d0e6c7c0a5db&sp=serp&sponsored=false&sq=AI+engineer&sr=57&tk=YV1PbrqTDJPev04G2DxX-uQ_YEbylpxwjnYZxvKlq&trigger_source=serp
809,810,Sales Engineer - Leading Artificial Intelligence Company - Remote - sg,Crypto Recruit,Hồ Chí Minh,14/06/2024,"About the companyOur client is at the forefront of transforming access to high-performance computing for AI enterprises. We're seeking a skilled Sales Engineer to join our dynamic team and bolster our sales efforts in promoting our cutting-edge, decentralized GPU-as-a-service (GPUaaS) platform.About the Role: As a pivotal member of our team, you'll serve as the liaison between groundbreaking technology and practical business requirements. Collaborating closely with our Enterprise AI Sales team, you'll grasp customer challenges, showcase the technical prowess of our client's GPUaaS platform, and support the sales process to facilitate successful AI deployments.Responsibilities:  Partner with Enterprise AI Sales representatives to pinpoint and assess leads with substantial AI workloads. Enhance client comprehension of our client's GPUaaS solution through technical presentations, demonstrations, and proof-of-concept (POC) creation. Translate customer needs into technical specifications for GPU configurations and compute resources on our client's platform. Assist in crafting compelling proposals with the sales team, highlighting the cost-effectiveness and scalability of our client's solutions. Collaborate with pre-sales engineers to configure and deploy POC environments, showcasing the performance and efficiency of the platform. Offer ongoing technical support to the sales team throughout the sales process, addressing customer inquiries and issues. Stay updated on the latest developments in AI, GPU technology, and the evolving features of our client's platform.  Qualifications:  Minimum of 3 years' experience in a technical sales role, preferably in the AI or high-performance computing (HPC) realm. Solid grasp of GPU architectures, their capabilities, and their role in accelerating AI workloads, particularly GPUs like A100s and H100s. Knowledge of AI frameworks and libraries (e.g., TensorFlow, PyTorch) is advantageous. Exceptional communication and presentation skills, with the ability to convey complex technical concepts to a non-technical audience. Ability to thrive in a collaborative environment and foster strong relationships with internal and external stakeholders. Proficiency in technical documentation and adeptness in creating clear and concise proposals. Proficiency in Mandarin is highly desirable. Experience working with AI enterprises and understanding their specific requirements. Familiarity with containerization technologies such as Docker or Kubernetes. Experience in developing or overseeing POC environments for AI projects, particularly in deploying GPU clusters.  Benefits/Compensation:  Competitive compensation and commission structure   Why Our Client? Join a team dedicated to democratizing access to high-performance computing for AI. You'll have the chance to play a key role in shaping the future of AI infrastructure and contribute to the success of our rapidly expanding company.Eager to make a tangible impact in the realm of AI? Apply today!Skip the line....If you've read this far and you think you have what it takes to be successful in this role, then skip the line and email me directly at *****@cryptorecruit.comPlease include your resume and a brief note showcasing your specific track record of developing enterprise partnerships with big name tech companies. Outline what you know about AI, GPUs, blockchain and why you would be the perfect fit for this role.",https://www.jobstreet.vn/vi%E1%BB%87c/Sales-Engineer-1b049fdc263d79674d311c700522de61?abstract_type=original&fsv=true&sl=&sol_key=4fc12189267c932b64976ac75a101051&sol_srt=562f2532-72bf-4ea7-a7e0-d0e6c7c0a5db&sp=serp&sponsored=false&sq=AI+engineer&sr=58&tk=YV1PbrqTDJPev04G2DxX-uQ_YEbylpxwjnYZxvKlq&trigger_source=serp
810,811,Data Analytics Consultant,SoftwareONE,Hồ Chí Minh,07/07/2024,"Why SoftwareOne?Hear firsthand from SoftwareOne APAC leaders as they unveil our exciting business and growth plan, spill the beans on our hiring initiatives, and reveal why joining SoftwareOne is a game-changer. Join us now and be part of our incredible journey.The roleData Engineer requirements:Design, Deploy, and maintain solutions on MS Azure using different Cloud & Big Data Technologies.Manage the full life cycle of a Data Lake / Big Data solutions from requirement gathering and analysis to platform selection, design of the architecture, and deployment.Be responsible for implementing solutions that can scale on Cloud.Collaborate with a team of business domain experts, data scientists, and application developers to develop BD solutions.Explore and learn new technologies for creative business problem solving and mentor a team of Data Engineers.Power BI requirements:Understand business requirements in BI context and design data models to transform raw data into meaningful insights.Convert business requirements into technical specifications and decide timeline to accomplish.Create dashboards and interactive visual reports using Power BIIdentify key performance indicators (KPIs) with clear objectives and consistently monitor them.Analyzing data and present data through reports that aid decision-makingCreate relationships between data and develop tabular and other multidimensional data models.Chart creation and data documentation explaining algorithms, parameters, models, and relations.Design, develop, test, and deploy Power BI scripts and perform detailed analytics.Perform DAX queries and functions in Power BIAnalyze current ETL process, define and design new systems.Redefine and make technical/strategic changes to enhance existing Business Intelligence systems.Create customize charts and custom calculations as per requirements.SQL querying for best results, use of filters and graphs for better understanding of data Work with users and team members at all levels for performance improvement and suggestions What we need to see from youStrong Hands-on experience in implementing Data Lake with technologies like – Azure Data Factory (ADF), Azure Synapse, ADLS, Databricks, Azure Synapse Analytics, SQL Database, Power BI, Azure ML, Azure DatabricksStrong programming & debugging skills either in SQL, Python and Scala/Java. Experience in building REST services is good to have.Experience in supporting Data Science teams in consuming the data in a secure and governed manner.Experience deploying Machine Learning solutions into production commercial environments.Good, understand, and Experience of using CI/CD with Git, Jenkins / Azure DevOps. Understanding of branching strategies, pull requests, and code reviews.Experience in setting up cloud-computing infrastructure solutions (in Dev Environment).Experience in using NoSQL Databases and Data Modelling in Hive Job FunctionSoftware & Cloud Services",https://www.jobstreet.vn/vi%E1%BB%87c/Data-Analytics-Consultant-5b6e3fc2c5a91faf5ba487e8db191ee1?abstract_type=original&fsv=true&sl=&sol_key=5f744381619ee25a0a80aebfc57ab8eb&sol_srt=562f2532-72bf-4ea7-a7e0-d0e6c7c0a5db&sp=serp&sponsored=false&sq=AI+engineer&sr=59&tk=YV1PbrqTDJPev04G2DxX-uQ_YEbylpxwjnYZxvKlq&trigger_source=serp
811,812,Media Codec Processing Engineer,Adecco VN,Hà Nội,27/06/2024,"Job summaryAdecco's client, a well-known technology company providing cutting-edge smart electronic devices, is looking for an experienced Software Engineer for their enthusiastic AI team.  Job ResponsibilitiesDesign and implement Video editing solutions applying in Android devices like trim, applying filter/effect, tone features (color, brightness, contrast, sharpen etc), HDR10 video based on image/video processing, graphic processingWork with Android Video editing framework and graphic processing for handling Multimedia codecs and raw media data. Experience requirementsHaving at least 3 ~ 4 years working experience in the field (Image/Video Processing, Media Codecs)Being proficient in Android native (Linux, C++)Being proficient in Multimedia framework, Video/Audio codecBeing familiar with Video/Audio/Image processingBeing familiar with Android graphic, OpenGL, Media file format & Samsung specific file formatAbility to transform research articles into the working solution to solve real-world problems.  Education requirementsNice to have:Preferring to have a Master or PhD. DegreeHaving experience in working with Multimedia Solution. If you are interested in this position, feel free to reach out to our consultant - Trang Nguyen at ************@adecco.com or 0985 236 *** for more details.  Contact Person  Trang Nguyen Adecco",https://www.jobstreet.vn/vi%E1%BB%87c/Media-Codec-Processing-Engineer-39b1516999af7e74e1ceecb230022dd6?abstract_type=original&fsv=true&sl=&sol_key=4b0752eb2d2b01326ec0df98774e11b1&sol_srt=562f2532-72bf-4ea7-a7e0-d0e6c7c0a5db&sp=serp&sponsored=false&sq=AI+engineer&sr=60&tk=YV1PbrqTDJPev04G2DxX-uQ_YEbylpxwjnYZxvKlq&trigger_source=serp
812,813,Silk Screen Engineer (Kỹ Sư Khung Lụa),Công Ty TNHH Omv,Long An,28/06/2024,"Kiểm tra, vận hành, bảo trì máy móc, thiết bị phục vụ in lụa, thiết kế phim, khung lưới.Có kiến ​​thức về thiết kế phim màn hình và tạo khung màn hình.Xây dựng khung màn hình, hiển thị hình ảnh màn hình và thay đổi khung màn hình.Sử dụng Adobe Illustrator (AI) để thiết kế phim và hình ảnh màn hình.Sử dụng thành thạo các công trình đất và phần mềm DRAM core.",https://www.jobstreet.vn/vi%E1%BB%87c/K%E1%BB%B9-S%C6%B0-Khung-6e58b403d638228ecd8d7120706c6196?abstract_type=original&fsv=true&sl=&sol_key=bd8cf847161d2c1ee9bd487188ed0dbf&sol_srt=562f2532-72bf-4ea7-a7e0-d0e6c7c0a5db&sp=serp&sponsored=false&sq=AI+engineer&sr=61&tk=YV1PbrqTDJPev04G2DxX-uQ_YEbylpxwjnYZxvKlq&trigger_source=serp
813,814,Data Engineer,ITviec,Hồ Chí Minh,02/07/2024,"Job descriptionWho we are..We are ABC Studio Co. Ltd, which stands for Ai Bigdata Content Studio.We are a Korean-Vietnamese start-up, focusing on Bigdata, AI.Our visions areThe company who has the biggest market data in the world.The company who make the first Virtual fitting & shopping platform in the world.What ABC Studio doesData-mining of global e-commerce and SNS platforms, such as, Shopee, Coupang, LAZADA, Douyin, Musinsa, instagram, Youtube, Tiktok, Naver and othersData-transforming and building up data-pipelines with python, AI and others, under a partnership with mainly Korean marketing companies and fashion/Beauty/food big brandsbuilding sLLM/LLM chatbots, with generatvie AI solutions, chatGPT, langchain, stable diffusion and 3D graphics technologiesJob Description:We are seeking an experienced Data Engineer with 3-5 years of expertise in data engineering, data mining, data scraping, data transforming, pipeline management, data lake and warehouse and Cloud. The ideal candidate will excel in building scalable data pipelines and optimizing data infrastructure using tools like Apache Airflow.Your skills and experienceKey Responsibilities:Design, develop, and maintain robust data pipelines for large-scale data processing.Implement ETL processes to ensure data accuracy and integrity.Perform data mining and data scraping to gather and analyze data from various sources.Optimize data storage solutions, including data lakes and data warehouses.Use Apache Airflow for workflow management and scheduling.Qualifications:Bachelor’s degree in Computer Science, Engineering, Information Technology, or related field.3-5 years of experience as a Data Engineer or similar role.Proficiency in programming languages such as Python.Strong SQL skills and experience with database systems (e.g., MySQL, PostgreSQL).Experience with data mining and data scraping techniques.Experience with data processing frameworks like Apache Spark.Familiarity with Google Cloud platform and their data services.Knowledge of data modeling, data warehousing, and ETL best practices.Proficiency with Apache Airflow for managing workflows.Effective English communication is essential.Why you'll love working hereCompetitive salary and benefits package.Opportunities for professional growth and development.Collaborative and inclusive work environment.Access to the latest technologies and tools.",https://www.jobstreet.vn/vi%E1%BB%87c/Data-Engineer-9f6e5d670898c8470e38a788619b0b52?abstract_type=original&fsv=true&sl=&sol_key=ad5e89fd7fa978790c57b04a58dd5712&sol_srt=562f2532-72bf-4ea7-a7e0-d0e6c7c0a5db&sp=serp&sponsored=false&sq=AI+engineer&sr=62&tk=YV1PbrqTDJPev04G2DxX-uQ_YEbylpxwjnYZxvKlq&trigger_source=serp
814,815,Mới Senior Software Engineer,Công Ty Cổ Phần Thương Mại - Dịch Vụ Moov,Hồ Chí Minh,05/07/2024,"● Bachelor’s or Master’s degree in Computer Science, Information Technology, or a related field.● At least 7 years of experience in software engineering.● Proficiency in one or more programming languages such as Java, Python, C#, JavaScript, or TypeScript.● Experience with modern development frameworks such as Spring, Django, .NET, or Node.js.● Strong understanding of software architecture and design patterns.● Experience with microservices architecture.● Experience with relational and NoSQL databases.● Familiarity with containerization technologies such as Docker.● Knowledge of cloud platforms like AWS, Google Cloud, or Azure.● Experience with CI/CD pipelines and DevOps practices.● Strong problem-solving skills and attention to detail.● Excellent communication and teamwork skills.● Ability to manage multiple tasks and projects simultaneously.Additional Skills:● Knowledge of frontend technologies and frameworks like React and React Native is a plus.● Understanding of cybersecurity best practices.● Experience with big data technologies and data pipelines.● Familiarity with machine learning and AI integration is a plus.** Benefits:● Work from home 1 day a week (Optional).● Bonus: 13th month salary annually, 7th month salary for first year joining the company.● Performance bonus: based on KPIs.● 15 paid leave days per year.● Review annually and adjust salary increase based on work performance.● Competitive salary package based on experience and qualifications.● Full benefits as per company policy, including health insurance, social insurance, and other statutory benefits.● A dynamic and creative work environment that supports personal and professional growth.● Opportunities to work on impactful projects that reach millions of users.● Startup environment, young, dynamic, work hard, play hard;● Working time: 5 days/week and flexible according to job positions.",https://www.jobstreet.vn/vi%E1%BB%87c/M%E7%9B%BB%E5%AC%96-Senior-Software-Engineer-03821d252dec711827c3715d2c2a3297?abstract_type=original&fsv=true&sl=&sol_key=7f1e818563ceb2ff571215491180ef96&sol_srt=562f2532-72bf-4ea7-a7e0-d0e6c7c0a5db&sp=serp&sponsored=false&sq=AI+engineer&sr=63&tk=YV1PbrqTDJPev04G2DxX-uQ_YEbylpxwjnYZxvKlq&trigger_source=serp
815,816,Senior Full Stack Engineer (Next.js / React.js/ Node.js / TypeScript),Qode,Việt Nam,04/07/2024,"We are a group of product development experts founded by a CEO with over 10 years of experience and expertise as a PdM and a tech lead with extensive experience in global companies such as SONY. We have completed a $600,000 seed round of funding in 2022 and are expanding our business with a focus on IT outsourcing. We have several projects related to generative AI and we have a team of professionals helping advanced clients expand their business. Our team is a multinational global team including Japan, Indonesia, Vietnam, and the Philippines, with 8 full-time employees as of June 2024. We plan to expand our own products in the future and are looking for people who enjoy this exciting environment.Project Example Development Project for Sales Support Tool Using Generated AI Generative AI chatbot development project for an insurance agency Marketing SaaS renewal project for Japan's largest advertising agency group company Mobile application development project for a major retailer with Flutter Automatic shift generation SaaS development project for a welfare facility with algorithms for linear programming About This JobThis position is a senior engineer with a mission to lead development projects for customers. You will lead projects based on your high level of expertise and lead customers to success.In addition to engineering, a wide range of skills such as project management and communication are required at a high level, which will greatly expand your career potential.Tech-stacks: Programming Languages Used: Mainly Used: TypeScript Others: Python, Dart Frontend: Next.js Backend: Supabase, AWS, GCP Work condition Full remote and you can work from all over the world HQ is in Tokyo but professionals can have great collaboration with all remote conditions Selection Process Pre technical test (Chat) Culture interview (30 min) Final - Technical interview (60 - 90min) RequirementsRequired skills and experiences More than 4 years experience in React/Next.js using TypeScript More than 4 years experience in server-side development using Node.js Experience in using Supabase/AWS/GCP in projects Has responsibility Has passion for removing unnecessary coding and creating innovation Has honesty and a good heart Has the ability to actively grow and expand their role Has a sincere attitude and can wholeheartedly engage with the product Has the proactiveness to bridge the gap between expectations and reality Read this before applyingWe would ask for trial work for 1 month which is 100% paid. Let us know about this confirmation.Benefits Remote working culture Distributed team Result-oriented environment ",https://www.jobstreet.vn/vi%E1%BB%87c/Engineer-3e0afdc51d381bcbdd937d66e8ecd971?abstract_type=original&fsv=true&sl=&sol_key=86105f60b613f9168ca39a31fe937647&sol_srt=562f2532-72bf-4ea7-a7e0-d0e6c7c0a5db&sp=serp&sponsored=false&sq=AI+engineer&sr=64&tk=YV1PbrqTDJPev04G2DxX-uQ_YEbylpxwjnYZxvKlq&trigger_source=serp
816,817,PHP engineer,SotaTek JSC,Hà Nội,09/06/2024,- You will work as an PHP and AngularJS developer to build a chatbot platform for Japanese customer (who is very famous in AI field recently in Japan)- Work in other project under your direct managers' instructions- Understand the design documents and implement them properly.- Write unit test to test server side code- Work directly with Japanese client to clarify requirement- Opportunities to work onsite oversea (Japanese level above or equivalent to N2)- Opportunities to work with the most brand-new technologies related to AI/Big Data,https://www.jobstreet.vn/vi%E1%BB%87c/PHP-Engineer-62ea755dd011ce41c229ee19788152f7?abstract_type=original&fsv=true&sl=&sol_key=81095b10a71673dec9e32ce7ed5ebffd&sol_srt=562f2532-72bf-4ea7-a7e0-d0e6c7c0a5db&sp=serp&sponsored=false&sq=AI+engineer&sr=65&tk=YV1PbrqTDJPev04G2DxX-uQ_YEbylpxwjnYZxvKlq&trigger_source=serp
817,818,"Senior Backend Engineer, Nodejs (AI)",HR1 Vietnam,Hồ Chí Minh,07/07/2024,"JOB DESCRIPTION• A Passion for AI and its possibilities, finding solutions for rapid prototyping and deployment to users.• Build Ai models & tools for users to create AI Smart Templates with few prompts which are easily editable, shareable.• Create restful api’s for advanced interactive AI configuration.• Develop the back-end software using Nodejs (Nestjs), chatGpt, Mid-journey & others.• Take ownership and contribute to the roadmap & improving user experience.• Use the latest ML frameworks and open-source tools to develop new model training pipelines.• Work with Prompt Engineers/Writers to keep improving the Outcomes.REQUIREMENTS• At least 6 years of experience in Backend Web Development working with Nodejs, Nestjs• Strong coding and deep knowledge of HTML, CSS, JavaScript• Design Pattern, Data Structure and Algorithms.• Good English communication skills• Experience in and success with Agile software development methodologies, especially Scrum.• Good knowledge and researching skill in AI domain.• Experience with using databases like MySQL, Redis, Postgres, MongoDB• Experience with using AWS.• Familiarity with Elasticsearch• Design pattern, data structure and algorithms• Experience with using Git.• Interested in technical challenges and eager to explore new technologies.• Flexibility to adapt to changing instructions and requirements.• Ability to work independently, proactive problem solver.------Ứng viên quan tâm vui lòng ỨNG TUYỂN bên dưới.hoặc, LIÊN HỆ VỚI CHÚNG TÔI để biết thêm chi tiếtP: +84 028 3925 2*** | ****@hr1vietnam.com | www.hr1vietnam.comHR1Jobs - The Leading AI Recruitment Online Platform: www.hr1jobs.com HR1Tech - The Leading AI Recruitment Online Platform in IT: www.hr1tech.com ",https://www.jobstreet.vn/vi%E1%BB%87c/Senior-Backend-Engineer-e554eb7fe370422cf78db500e990838a?abstract_type=original&fsv=true&sl=&sol_key=693114b5cdb127e106f386bc036cc3f8&sol_srt=056938fd-bf25-42df-b9a8-0e09cf42df6a&sp=serp&sponsored=false&sq=AI+engineer&sr=61&tk=Smc2H95w6ejzVZdSmi58-s5wMcFMqTmZuKGBh0Bum&trigger_source=serp
818,819,Senior Frontend Engineer,Employment Hero,Việt Nam,20/06/2024,"Our mission and where you fit inOur ambitious team at Employment Hero is on a quest to transform employment, making it easier and more valuable for everyone. Our world-class software is the easiest way for small and medium-sized businesses to manage HR, payroll, employee engagement, and benefits. Since our inception in 2014, we've had enormous growth (100% YoY), now serving 300,000 businesses globally, with 2 million+ users on the platform, reaching unicorn status in 2022 - and we have no plans of slowing down. There’s never been a more exciting time to join one of the fastest-growing global unicorns, so let’s see if we could be a match!In your role, you'll be focused on…We're a team of global innovators, who cherish diverse perspectives that fuel our mission; to simplify the world of work for SMBs worldwide. As a Senior Frontend Software Engineer, you will help us to create new products and continuously enhance existing products and features, where you’ll get to use unique and new technologies. You will use your experience to help design and architect complex software, for consumption by millions of users around the world.You have a flexible / growth mindset, with a strong desire to continuously learn - our software roles require you to be able to work autonomously as well as a member of a team.You'll accelerate your career quickly, working with smart people across the APAC and UK regions, in a fully remote, flexible, and casual environment. We also encourage our teams to work smart, leveraging Github Copilot and other generative AI tech.We have multiple opportunities where you could work dynamically across our Talent, HR, Platform, Security, Integrations, Growth, AI or other streams/squads.As a Senior Frontend Software Engineer, you’ll be: Develop new product lines with new critical features, using our techstack which includes ReactJS, React Native within an AWS Cloud environment using EC2 and Kubernetes. Provide your input into our technical strategy with your squad, including participating in sprint planning Develop code for the frontend as an end-to-end Frontend Software Development Engineer Ensure both your colleagues and yourself are producing high-quality code through testing and code reviews Share your knowledge with your squad and mentor junior developers Learn and collaborate with highly respected Senior Software Developers, in a high-performing and supportive squad Show your passion for working in highly complex and technically challenging development Enhance legacy features for our award-winning HR tech platform ",https://www.jobstreet.vn/vi%E1%BB%87c/Senior-Frontend-Engineer-73d7653c61f8ce106d6ab4c1ae69d7ef?abstract_type=original&fsv=true&sl=&sol_key=f45e7548bde209ec987c11b59c8e61a3&sol_srt=056938fd-bf25-42df-b9a8-0e09cf42df6a&sp=serp&sponsored=false&sq=AI+engineer&sr=62&tk=Smc2H95w6ejzVZdSmi58-s5wMcFMqTmZuKGBh0Bum&trigger_source=serp
819,820,Data Engineer,Lixibox,Hồ Chí Minh,21/06/2024,"Working Location: 16th, 34 Road, Tran Nao Street, An Khanh Ward, Thu Duc City, HCMC.Team: TechLine report: Senior Data ScientistLixibox is a full-stack one-stop omni-channel solution for luxury affordable brands to reach GenZ consumers in Vietnam, one of the fastest growing regions in the world. We focus on optimizing operation by leveraging an in-house agency and the in-house technology solutions to bring the most effective brand launching that would benefit the end consumers.We are seeking a highly motivated and analytical Data Engineer to join our data team and assist in the development, maintenance, and improvement of our data infrastructure and systems. As a Data Engineer, you will work closely with other members of the team to design, implement, test, and document data pipelines, ETL processes, databases, and data warehouses. You will also be responsible for troubleshooting issues with data quality, performance, and scalability, and proposing and implementing solutions to address them. Additionally, you will collaborate with other departments in the organization, such as IT and business units, to gather requirements and ensure data integration and consistency across different systems and applications.I. RESPONSIBILITIES:Assist in designing, implementing, testing, and documenting data pipelines, ETL processes, databases, and data warehouses;Troubleshoot issues with data quality, performance, and scalability, and propose and implement solutions to address them;Collaborate with other departments in the organization, such as IT and business units, to gather requirements and ensure data integration and consistency across different systems and applications;Work closely with other members of the data team, such as Data Scientists and Analysts, to understand their data needs and help them access, analyze, and visualize data in a timely and secure manner;Participate in code reviews, testing, and deployment processes to ensure high-quality deliverables;Document the data infrastructure, processes, and best practices, and provide training and support to the relevant stakeholders;II. REQUIREMENTS:Pursuing a degree in Computer Science, Data Science, or a related field;Strong programming skills in Python;Strong background on data modeling, data analytical platform, and SQL querying;At least 1 year experience with data ingestion, processing, transforming and visualization tools and frameworks, such as Pandas, Dbt, Mage-AI, Metabase…;Having experience on data crawling is a plus;Having knowledge and experience with implementing data governance is also a plus;Strong analytical and problem-solving skills, with the ability to think creatively and outside the box;Good communication and collaboration skills (both native and English), with the ability to work in a team-oriented environment;Attention to detail, with a commitment to producing high-quality deliverables on time.",https://www.jobstreet.vn/vi%E1%BB%87c/Data-Engineer-861f4db3c2133a2590b1da7c4d37e09a?abstract_type=original&fsv=true&sl=&sol_key=491af9cf630ce49dc16f86c9fc6c6087&sol_srt=056938fd-bf25-42df-b9a8-0e09cf42df6a&sp=serp&sponsored=false&sq=AI+engineer&sr=63&tk=Smc2H95w6ejzVZdSmi58-s5wMcFMqTmZuKGBh0Bum&trigger_source=serp
